observed_at_utc,period_id,league_alias,kpi_id,numerator,denominator,value,unit,source_type,source_ref,evidence_ref,owner_role,status,notes_redacted
2026-07-29T18:00:00Z,FINAL,ALL,ACTIVE_LEAGUES,3,3,3,count,checkpoint,SIM-COHORT-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,pilot_coordinator,validated,synthetic-cohort
2026-07-29T18:00:00Z,FINAL,PILOT-L01,ACTIVE_PARTICIPANTS,8,8,8,count,checkpoint,SIM-PARTICIPANTS-L01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-participant-count
2026-07-29T18:00:00Z,FINAL,PILOT-L02,ACTIVE_PARTICIPANTS,8,8,8,count,checkpoint,SIM-PARTICIPANTS-L02,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-participant-count
2026-07-29T18:00:00Z,FINAL,PILOT-L03,ACTIVE_PARTICIPANTS,8,8,8,count,checkpoint,SIM-PARTICIPANTS-L03,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-participant-count
2026-07-29T18:00:00Z,FINAL,ALL,ACTIVE_PARTICIPANTS,24,24,24,count,checkpoint,SIM-PARTICIPANTS-ALL,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,pilot_coordinator,validated,synthetic-participant-aggregate
2026-07-29T18:00:00Z,FINAL,ALL,PILOT_DURATION_DAYS,28,28,28,days,checkpoint,SIM-CALENDAR-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,pilot_coordinator,validated,synthetic-window
2026-07-29T18:00:00Z,FINAL,PILOT-L01,PILOT_DURATION_DAYS,28,28,28,days,checkpoint,SIM-CALENDAR-L01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-window
2026-07-29T18:00:00Z,FINAL,PILOT-L02,PILOT_DURATION_DAYS,28,28,28,days,checkpoint,SIM-CALENDAR-L02,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-window
2026-07-29T18:00:00Z,FINAL,PILOT-L03,PILOT_DURATION_DAYS,28,28,28,days,checkpoint,SIM-CALENDAR-L03,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-window
2026-07-29T18:00:00Z,FINAL,PILOT-L01,COMPLETED_ROUNDS,4,4,4,count,checkpoint,SIM-ROUND-L01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-rounds
2026-07-29T18:00:00Z,FINAL,PILOT-L02,COMPLETED_ROUNDS,4,4,4,count,checkpoint,SIM-ROUND-L02,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-rounds
2026-07-29T18:00:00Z,FINAL,PILOT-L03,COMPLETED_ROUNDS,4,4,4,count,checkpoint,SIM-ROUND-L03,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-rounds
2026-07-29T18:00:00Z,FINAL,PILOT-L01,CRITICAL_FLOW_COMPLETION,15,15,1.0,ratio,checkpoint,SIM-FLOW-L01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-flow
2026-07-29T18:00:00Z,FINAL,PILOT-L02,CRITICAL_FLOW_COMPLETION,14,15,0.933333,ratio,checkpoint,SIM-FLOW-L02,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-flow
2026-07-29T18:00:00Z,FINAL,PILOT-L03,CRITICAL_FLOW_COMPLETION,14,15,0.933333,ratio,checkpoint,SIM-FLOW-L03,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,league_admin,validated,synthetic-flow
2026-07-29T18:00:00Z,FINAL,ALL,CRITICAL_FLOW_COMPLETION,43,45,0.955556,ratio,checkpoint,SIM-FLOW-ALL,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,pilot_coordinator,validated,synthetic-flow-aggregate
2026-07-29T18:00:00Z,FINAL,ALL,CRITICAL_FLOW_BLOCKERS_OPEN,0,0,0,count,ticket,SIM-TICKETS-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,incident_coordinator,validated,synthetic-open-blockers
2026-07-29T18:00:00Z,FINAL,ALL,SUPPORT_ACK_WITHIN_TARGET,9,10,0.9,ratio,ticket,SIM-TICKETS-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,incident_coordinator,validated,priority-all
2026-07-29T18:00:00Z,FINAL,ALL,SUPPORT_ACK_WITHIN_TARGET,1,1,1.0,ratio,ticket,SIM-TICKETS-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,incident_coordinator,validated,priority-p0-p1
2026-07-29T18:00:00Z,FINAL,ALL,P0_INCIDENTS,0,0,0,count,ticket,SIM-TICKETS-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,incident_coordinator,validated,synthetic-incidents
2026-07-29T18:00:00Z,FINAL,ALL,P1_OPEN_AT_GATE,0,0,0,count,ticket,SIM-TICKETS-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,incident_coordinator,validated,synthetic-incidents
2026-07-29T18:00:00Z,FINAL,ALL,CAPACITY_RUN_PASS,1,1,1.0,ratio,k6,SIM-K6-FULL-01,docs/operations/evidence/ep12-07_internal_dry_run_2026-08-21.md,platform_owner,validated,full-within-30-days
